order_id,store_id,order_hour,day_of_week,is_weekend,is_peak_hour,weather_condition,traffic_level,vehicle_type,distance_km,num_items,prep_time_seconds,edt_seconds
JP010040,Tokyo-Shinjuku,15,Friday,0,0,heavy_rain,medium,bicycle,4.75,2,490,3210
JP010041,Tokyo-Shibuya,14,Friday,0,0,clear,medium,scooter,12.99,2,883,3135
JP010042,Osaka-Namba,13,Friday,0,1,snow,low,car,0.63,2,729,1028
JP010043,Sapporo-Odori,16,Wednesday,0,0,rain,medium,car,2.94,6,544,1310
JP010044,Osaka-Umeda,12,Thursday,0,1,cloudy,high,scooter,2.85,6,374,1398
JP010045,Tokyo-Shinjuku,22,Thursday,0,0,snow,low,bicycle,1.47,4,818,1871
JP010046,Osaka-Umeda,13,Tuesday,0,1,rain,low,bicycle,5.06,6,591,3081
JP010047,Tokyo-Akihabara,14,Thursday,0,0,snow,high,car,4.0,1,867,2316
JP010048,Osaka-Umeda,11,Saturday,1,0,clear,medium,scooter,6.81,2,409,1918
JP010049,Sapporo-Odori,13,Tuesday,0,1,rain,high,car,1.22,4,651,1161
JP010050,Osaka-Namba,17,Saturday,1,0,rain,very_high,scooter,0.56,1,394,669
JP010051,Nagoya-Sakae,15,Sunday,1,0,rain,low,bicycle,1.4,6,433,1170
JP010052,Osaka-Umeda,17,Tuesday,0,0,heavy_rain,very_high,car,2.21,1,414,1271
JP010053,Tokyo-Shibuya,21,Saturday,1,0,cloudy,low,scooter,1.02,3,740,1007
JP010054,Tokyo-Akihabara,21,Monday,0,0,rain,high,bicycle,7.84,6,515,5173
JP010055,Osaka-Namba,13,Saturday,1,1,clear,high,car,4.28,7,458,1696
JP010056,Osaka-Namba,16,Sunday,1,0,cloudy,medium,scooter,1.47,1,483,956
JP010057,Kyoto-Gion,11,Sunday,1,0,heavy_rain,medium,scooter,8.46,3,410,2892
JP010058,Nagoya-Sakae,14,Sunday,1,0,clear,very_high,bicycle,2.0,4,771,2142
JP010059,Kyoto-Gion,18,Wednesday,0,1,cloudy,medium,bicycle,8.46,4,708,4594
JP010060,Kyoto-Gion,17,Wednesday,0,0,clear,high,scooter,0.81,7,849,1328
JP010061,Kyoto-Gion,12,Monday,0,1,clear,high,bicycle,8.51,5,339,4984
JP010062,Tokyo-Shibuya,9,Friday,0,0,heavy_rain,high,car,1.11,6,746,1245
JP010063,Sapporo-Odori,16,Monday,0,0,heavy_rain,medium,scooter,4.62,1,746,1970
JP010064,Tokyo-Shinjuku,18,Friday,0,1,snow,medium,scooter,1.45,7,371,1210
JP010065,Kyoto-Gion,13,Friday,0,1,rain,low,car,5.3,5,819,2015
JP010066,Osaka-Umeda,17,Saturday,1,0,heavy_rain,high,scooter,3.44,5,867,2294
JP010067,Tokyo-Akihabara,11,Tuesday,0,0,heavy_rain,very_high,car,2.1,3,882,1687
JP010068,Osaka-Umeda,22,Thursday,0,0,snow,low,scooter,2.25,5,515,1282
JP010069,Nagoya-Sakae,20,Sunday,1,1,snow,high,scooter,3.99,8,752,2936
JP010070,Osaka-Namba,16,Friday,0,0,heavy_rain,medium,car,2.87,2,590,1442
JP010071,Sapporo-Odori,12,Saturday,1,1,snow,high,bicycle,4.99,4,617,5622
JP010072,Osaka-Namba,21,Sunday,1,0,cloudy,medium,bicycle,11.27,1,550,5167
JP010073,Fukuoka-Tenjin,21,Friday,0,0,clear,very_high,scooter,2.12,4,693,1506
JP010074,Fukuoka-Tenjin,22,Thursday,0,0,cloudy,medium,car,7.21,1,409,1640
JP010075,Nagoya-Sakae,13,Tuesday,0,1,cloudy,very_high,bicycle,2.2,4,424,2022
JP010076,Fukuoka-Tenjin,12,Tuesday,0,1,heavy_rain,high,scooter,3.35,7,861,2486
JP010077,Fukuoka-Tenjin,21,Tuesday,0,0,heavy_rain,very_high,scooter,4.67,4,583,2581
JP010078,Sapporo-Odori,17,Thursday,0,0,cloudy,high,scooter,16.64,2,592,4504
JP010079,Osaka-Namba,12,Wednesday,0,1,rain,high,car,3.06,2,441,1399
JP010080,Tokyo-Akihabara,17,Tuesday,0,0,heavy_rain,medium,car,4.74,4,365,1630
JP010081,Nagoya-Sakae,14,Thursday,0,0,rain,very_high,scooter,1.72,1,511,1199
JP010082,Nagoya-Sakae,20,Thursday,0,1,snow,low,car,9.06,7,788,3349
JP010083,Tokyo-Shinjuku,15,Wednesday,0,0,rain,very_high,scooter,2.94,4,799,1977
JP010084,Osaka-Namba,18,Wednesday,0,1,heavy_rain,very_high,bicycle,6.06,7,644,6652
JP010085,Nagoya-Sakae,20,Saturday,1,1,cloudy,very_high,bicycle,1.94,1,703,2085
JP010086,Tokyo-Shinjuku,16,Monday,0,0,heavy_rain,medium,scooter,0.63,3,351,661
JP010087,Osaka-Umeda,15,Thursday,0,0,rain,medium,scooter,3.24,6,645,1648
JP010088,Nagoya-Sakae,10,Wednesday,0,0,heavy_rain,high,bicycle,0.63,8,319,957
JP010089,Sapporo-Odori,19,Monday,0,1,rain,medium,car,2.06,2,341,900
JP010090,Tokyo-Shinjuku,18,Tuesday,0,1,cloudy,low,car,1.35,3,544,836
JP010091,Tokyo-Akihabara,17,Thursday,0,0,clear,medium,scooter,0.81,5,677,1057
JP010092,Tokyo-Akihabara,16,Friday,0,0,snow,low,bicycle,4.05,5,410,2796
JP010093,Tokyo-Shinjuku,18,Wednesday,0,1,snow,very_high,scooter,13.53,4,377,7706
JP010094,Osaka-Namba,19,Monday,0,1,rain,low,car,1.61,1,655,1058
JP010095,Sapporo-Odori,15,Thursday,0,0,rain,low,car,0.79,6,312,709
JP010096,Nagoya-Sakae,14,Sunday,1,0,heavy_rain,low,scooter,1.17,6,770,1337
JP010097,Tokyo-Akihabara,12,Thursday,0,1,cloudy,high,car,1.51,8,776,1538
JP010098,Nagoya-Sakae,17,Sunday,1,0,snow,high,scooter,1.65,4,388,1276
JP010099,Osaka-Umeda,21,Thursday,0,0,cloudy,very_high,car,5.19,7,644,2241
JP010100,Tokyo-Shinjuku,14,Thursday,0,0,rain,medium,scooter,1.5,4,663,1240
JP010101,Osaka-Umeda,14,Wednesday,0,0,rain,high,car,5.46,1,829,2196
JP010102,Osaka-Namba,15,Monday,0,0,cloudy,very_high,scooter,0.86,4,787,1272
JP010103,Fukuoka-Tenjin,15,Thursday,0,0,clear,low,scooter,2.75,4,714,1330
JP010104,Osaka-Namba,14,Wednesday,0,0,snow,high,scooter,3.85,6,735,2422
JP010105,Sapporo-Odori,17,Wednesday,0,0,rain,very_high,scooter,0.66,5,557,1076
JP010106,Osaka-Namba,15,Monday,0,0,cloudy,high,bicycle,7.29,3,496,4029
JP010107,Osaka-Namba,17,Saturday,1,0,heavy_rain,high,car,1.12,5,402,966
JP010108,Osaka-Namba,9,Wednesday,0,0,cloudy,high,bicycle,3.58,5,314,2204
JP010109,Sapporo-Odori,21,Tuesday,0,0,rain,low,bicycle,3.5,5,429,2055
JP010110,Fukuoka-Tenjin,15,Monday,0,0,clear,high,scooter,3.26,8,751,1736
JP010111,Kyoto-Gion,21,Tuesday,0,0,clear,high,scooter,2.21,2,366,994
JP010112,Nagoya-Sakae,11,Thursday,0,0,clear,low,bicycle,1.84,3,876,1551
JP010113,Osaka-Umeda,19,Monday,0,1,cloudy,low,car,0.58,7,531,872
JP010114,Sapporo-Odori,11,Thursday,0,0,heavy_rain,very_high,scooter,4.68,7,612,2761
JP010115,Tokyo-Shinjuku,17,Friday,0,0,clear,medium,car,7.85,4,570,1940
JP010116,Tokyo-Shibuya,13,Tuesday,0,1,cloudy,medium,car,1.18,2,460,825
JP010117,Tokyo-Shinjuku,18,Thursday,0,1,heavy_rain,very_high,scooter,6.25,1,537,3431
JP010118,Osaka-Umeda,14,Saturday,1,0,rain,very_high,bicycle,5.74,4,570,4848
JP010119,Osaka-Namba,14,Thursday,0,0,clear,medium,car,9.85,3,572,2152
JP010120,Tokyo-Akihabara,18,Monday,0,1,clear,medium,scooter,5.42,5,749,2130
JP010121,Tokyo-Shibuya,11,Thursday,0,0,rain,very_high,scooter,8.65,8,748,3931
JP010122,Tokyo-Shibuya,13,Friday,0,1,clear,very_high,car,8.41,6,556,2888
JP010123,Tokyo-Shinjuku,14,Monday,0,0,cloudy,low,car,0.54,5,890,1198
JP010124,Tokyo-Shinjuku,21,Sunday,1,0,cloudy,very_high,car,3.48,8,584,1716
JP010125,Tokyo-Akihabara,17,Friday,0,0,heavy_rain,very_high,bicycle,2.58,8,656,3013
JP010126,Nagoya-Sakae,17,Wednesday,0,0,rain,low,bicycle,5.39,6,721,2919
JP010127,Fukuoka-Tenjin,19,Wednesday,0,1,heavy_rain,low,scooter,5.96,2,622,2277
JP010128,Osaka-Umeda,10,Wednesday,0,0,clear,very_high,car,3.29,1,855,1624
JP010129,Fukuoka-Tenjin,15,Thursday,0,0,clear,medium,car,8.15,6,810,2229
JP010130,Fukuoka-Tenjin,12,Sunday,1,1,clear,medium,scooter,5.52,3,594,1932
JP010131,Fukuoka-Tenjin,17,Saturday,1,0,heavy_rain,low,bicycle,0.87,4,462,1123
JP010132,Osaka-Umeda,11,Friday,0,0,clear,very_high,bicycle,6.54,4,416,4119
JP010133,Fukuoka-Tenjin,18,Monday,0,1,cloudy,very_high,car,0.8,5,821,1208
JP010134,Osaka-Umeda,19,Thursday,0,1,heavy_rain,very_high,bicycle,10.8,8,864,11162
JP010135,Tokyo-Akihabara,22,Thursday,0,0,cloudy,medium,bicycle,5.4,5,724,2960
JP010136,Kyoto-Gion,18,Sunday,1,1,snow,high,bicycle,3.36,5,605,4102
JP010137,Fukuoka-Tenjin,14,Sunday,1,0,cloudy,very_high,car,8.79,8,653,3100
JP010138,Kyoto-Gion,9,Friday,0,0,snow,very_high,scooter,2.71,6,493,1951
JP010139,Osaka-Namba,10,Friday,0,0,heavy_rain,medium,scooter,0.94,1,625,1003
JP010140,Fukuoka-Tenjin,18,Saturday,1,1,heavy_rain,very_high,car,3.56,3,807,2355
JP010141,Tokyo-Shinjuku,22,Tuesday,0,0,snow,high,bicycle,2.14,8,402,2488
JP010142,Sapporo-Odori,12,Thursday,0,1,clear,medium,scooter,12.06,3,376,2907
JP010143,Fukuoka-Tenjin,9,Sunday,1,0,rain,high,car,12.76,7,382,3735
JP010144,Kyoto-Gion,11,Sunday,1,0,snow,very_high,scooter,3.32,8,854,2795
JP010145,Tokyo-Shinjuku,22,Friday,0,0,clear,medium,car,3.09,5,532,1285
JP010146,Tokyo-Shibuya,15,Thursday,0,0,clear,low,scooter,3.96,3,606,1386
JP010147,Tokyo-Shinjuku,16,Monday,0,0,rain,low,scooter,8.6,6,683,2613
JP010148,Nagoya-Sakae,13,Tuesday,0,1,cloudy,very_high,car,1.23,3,474,906
JP010149,Tokyo-Akihabara,15,Monday,0,0,snow,very_high,car,2.03,4,809,1760
JP010150,Tokyo-Akihabara,22,Tuesday,0,0,heavy_rain,high,scooter,15.49,5,309,5574
JP010151,Fukuoka-Tenjin,17,Wednesday,0,0,snow,medium,bicycle,3.19,8,653,3132
JP010152,Osaka-Umeda,17,Saturday,1,0,heavy_rain,high,scooter,1.12,5,503,1082
JP010153,Nagoya-Sakae,21,Sunday,1,0,heavy_rain,low,bicycle,6.55,7,885,4181
JP010154,Kyoto-Gion,21,Friday,0,0,rain,high,bicycle,7.54,7,581,5216
JP010155,Tokyo-Shinjuku,10,Friday,0,0,clear,very_high,scooter,0.59,4,660,1075
JP010156,Osaka-Namba,22,Saturday,1,0,cloudy,high,car,1.07,3,399,758
JP010157,Tokyo-Shinjuku,16,Wednesday,0,0,heavy_rain,low,car,2.18,6,434,1070
JP010158,Tokyo-Shibuya,14,Wednesday,0,0,rain,very_high,bicycle,1.62,4,435,1785
JP010159,Sapporo-Odori,10,Wednesday,0,0,snow,high,bicycle,7.5,5,793,7087
JP010160,Osaka-Umeda,18,Saturday,1,1,rain,low,scooter,10.64,2,444,2902
JP010161,Osaka-Namba,19,Sunday,1,1,heavy_rain,high,bicycle,1.49,7,314,1759
JP010162,Osaka-Umeda,21,Friday,0,0,clear,very_high,scooter,3.76,5,898,2096
JP010163,Nagoya-Sakae,12,Sunday,1,1,rain,low,car,4.4,4,782,1677
JP010164,Tokyo-Shinjuku,11,Friday,0,0,snow,high,car,4.4,4,364,2057
JP010165,Fukuoka-Tenjin,16,Saturday,1,0,rain,very_high,bicycle,5.68,3,346,4648
JP010166,Tokyo-Shinjuku,16,Wednesday,0,0,heavy_rain,low,bicycle,3.38,4,850,2566
JP010167,Tokyo-Akihabara,20,Thursday,0,1,heavy_rain,high,car,2.31,7,458,1512
JP010168,Nagoya-Sakae,18,Saturday,1,1,clear,very_high,car,1.34,7,586,1298
JP010169,Tokyo-Shinjuku,11,Saturday,1,0,rain,medium,scooter,0.55,8,541,1040
JP010170,Kyoto-Gion,14,Monday,0,0,rain,high,bicycle,2.51,7,582,2172
JP010171,Osaka-Namba,20,Monday,0,1,heavy_rain,low,car,2.0,4,321,1030
JP010172,Tokyo-Shinjuku,14,Sunday,1,0,rain,medium,bicycle,3.91,4,370,2413
JP010173,Sapporo-Odori,20,Tuesday,0,1,snow,medium,bicycle,10.95,6,451,8757
JP010174,Tokyo-Shinjuku,15,Wednesday,0,0,cloudy,medium,car,14.2,5,478,2843
JP010175,Tokyo-Shibuya,15,Saturday,1,0,clear,medium,bicycle,1.9,6,543,1425
JP010176,Kyoto-Gion,11,Monday,0,0,cloudy,high,bicycle,0.98,3,731,1398
JP010177,Sapporo-Odori,11,Monday,0,0,clear,very_high,scooter,1.08,6,825,1375
JP010178,Tokyo-Shibuya,12,Thursday,0,1,snow,medium,car,1.98,1,833,1459
JP010179,Osaka-Umeda,20,Thursday,0,1,clear,low,scooter,2.75,7,736,1425
JP010180,Tokyo-Shibuya,12,Thursday,0,1,heavy_rain,low,bicycle,0.65,6,451,1060
JP010181,Tokyo-Shibuya,12,Tuesday,0,1,rain,high,scooter,1.64,5,764,1479
JP010182,Sapporo-Odori,12,Friday,0,1,heavy_rain,low,car,2.09,2,864,1363
JP010183,Osaka-Namba,15,Thursday,0,0,heavy_rain,medium,scooter,4.6,6,764,2179
JP010184,Nagoya-Sakae,20,Thursday,0,1,clear,high,scooter,9.38,6,561,3154
JP010185,Kyoto-Gion,10,Tuesday,0,0,heavy_rain,low,bicycle,1.63,2,395,1299
JP010186,Nagoya-Sakae,12,Monday,0,1,rain,medium,car,1.32,1,900,1319
JP010187,Sapporo-Odori,14,Friday,0,0,rain,low,scooter,2.82,6,733,1398
JP010188,Tokyo-Shinjuku,15,Wednesday,0,0,snow,high,scooter,5.32,2,891,3172
JP010189,Sapporo-Odori,10,Tuesday,0,0,cloudy,very_high,bicycle,1.52,2,658,1683
JP010190,Sapporo-Odori,15,Wednesday,0,0,clear,high,car,3.16,4,739,1515
JP010191,Sapporo-Odori,11,Sunday,1,0,snow,low,car,2.58,5,329,1036
JP010192,Tokyo-Akihabara,13,Wednesday,0,1,rain,high,scooter,2.16,1,485,1285
JP010193,Tokyo-Akihabara,9,Friday,0,0,heavy_rain,low,bicycle,1.86,1,393,1309
JP010194,Sapporo-Odori,11,Tuesday,0,0,heavy_rain,very_high,scooter,8.24,6,461,3848
JP010195,Kyoto-Gion,16,Wednesday,0,0,rain,low,bicycle,4.48,3,461,2304
JP010196,Tokyo-Shinjuku,11,Saturday,1,0,clear,high,scooter,3.2,7,797,1892
JP010197,Fukuoka-Tenjin,16,Thursday,0,0,rain,medium,car,5.29,2,653,1718
JP010198,Nagoya-Sakae,13,Monday,0,1,rain,very_high,car,2.08,5,346,1200
JP010199,Osaka-Namba,17,Thursday,0,0,snow,low,bicycle,3.46,4,608,2597
JP010200,Osaka-Namba,11,Sunday,1,0,cloudy,high,scooter,1.08,6,422,977
JP010201,Tokyo-Shinjuku,13,Thursday,0,1,heavy_rain,medium,bicycle,1.11,7,845,1780
JP010202,Osaka-Namba,12,Friday,0,1,snow,high,bicycle,8.45,7,343,8457
JP010203,Nagoya-Sakae,11,Monday,0,0,heavy_rain,low,scooter,3.1,7,887,1853
JP010204,Nagoya-Sakae,11,Saturday,1,0,heavy_rain,high,bicycle,2.28,7,321,2214
JP010205,Kyoto-Gion,22,Tuesday,0,0,snow,very_high,car,7.52,6,390,3533
JP010206,Nagoya-Sakae,12,Sunday,1,1,clear,medium,scooter,4.37,7,836,2073
JP010207,Tokyo-Shibuya,21,Thursday,0,0,rain,high,bicycle,3.35,6,472,2498
JP010208,Tokyo-Shibuya,18,Friday,0,1,clear,medium,scooter,1.22,6,451,968
JP010209,Osaka-Namba,13,Monday,0,1,cloudy,high,bicycle,2.44,3,456,1859
JP010210,Tokyo-Shibuya,11,Tuesday,0,0,heavy_rain,very_high,car,3.8,8,878,2414
JP010211,Kyoto-Gion,13,Sunday,1,1,rain,medium,scooter,3.55,2,780,1836
JP010212,Fukuoka-Tenjin,16,Saturday,1,0,rain,high,car,0.69,1,660,896
JP010213,Sapporo-Odori,14,Monday,0,0,rain,very_high,scooter,1.01,1,358,844
JP010214,Kyoto-Gion,13,Sunday,1,1,rain,low,car,4.5,2,819,1733
JP010215,Nagoya-Sakae,18,Thursday,0,1,snow,low,scooter,3.67,4,629,1765
JP010216,Fukuoka-Tenjin,14,Friday,0,0,cloudy,low,scooter,9.78,2,651,2257
JP010217,Tokyo-Shibuya,19,Friday,0,1,cloudy,low,bicycle,12.24,8,749,5507
JP010218,Sapporo-Odori,21,Friday,0,0,snow,medium,scooter,1.2,6,589,1174
JP010219,Nagoya-Sakae,10,Thursday,0,0,rain,low,car,5.23,6,367,1471
JP010220,Kyoto-Gion,11,Monday,0,0,snow,very_high,scooter,6.05,5,453,3515
JP010221,Kyoto-Gion,12,Monday,0,1,snow,medium,scooter,1.13,5,701,1353
JP010222,Tokyo-Akihabara,17,Friday,0,0,clear,high,car,3.09,7,636,1465
JP010223,Tokyo-Akihabara,14,Saturday,1,0,snow,low,car,7.84,7,820,2968
JP010224,Kyoto-Gion,15,Monday,0,0,rain,high,bicycle,2.16,4,649,2033
JP010225,Fukuoka-Tenjin,15,Tuesday,0,0,cloudy,medium,bicycle,1.76,2,602,1444
JP010226,Tokyo-Shibuya,13,Friday,0,1,snow,low,car,8.54,6,434,2898
JP010227,Nagoya-Sakae,14,Tuesday,0,0,cloudy,medium,car,3.24,3,748,1412
JP010228,Tokyo-Shinjuku,11,Thursday,0,0,rain,medium,scooter,10.34,5,759,3260
JP010229,Osaka-Namba,17,Friday,0,0,cloudy,high,scooter,1.93,4,676,1339
JP010230,Fukuoka-Tenjin,17,Thursday,0,0,rain,very_high,car,3.17,7,465,1621
JP010231,Osaka-Namba,20,Sunday,1,1,snow,medium,scooter,5.94,1,792,3110
JP010232,Kyoto-Gion,13,Friday,0,1,clear,low,scooter,5.27,2,464,1419
JP010233,Osaka-Umeda,10,Thursday,0,0,snow,medium,scooter,3.45,2,527,1771
JP010234,Fukuoka-Tenjin,14,Wednesday,0,0,clear,very_high,bicycle,6.53,7,814,4686
JP010235,Kyoto-Gion,11,Tuesday,0,0,heavy_rain,low,scooter,7.06,4,328,2030
JP010236,Kyoto-Gion,19,Monday,0,1,rain,medium,bicycle,1.07,1,593,1192
JP010237,Fukuoka-Tenjin,12,Saturday,1,1,cloudy,very_high,scooter,4.98,1,381,2215
JP010238,Tokyo-Shinjuku,17,Wednesday,0,0,cloudy,medium,car,3.24,7,413,1265
JP010239,Osaka-Umeda,13,Tuesday,0,1,rain,low,bicycle,1.98,4,729,1678
JP010240,Fukuoka-Tenjin,15,Monday,0,0,clear,very_high,car,10.8,1,827,3395
JP010241,Osaka-Namba,12,Saturday,1,1,cloudy,high,scooter,3.59,1,661,1905
JP010242,Osaka-Namba,9,Friday,0,0,heavy_rain,medium,car,7.7,2,836,2651
JP010243,Kyoto-Gion,21,Monday,0,0,snow,low,scooter,3.41,8,344,1570
JP010244,Nagoya-Sakae,18,Wednesday,0,1,rain,low,scooter,1.08,2,653,1020
JP010245,Osaka-Namba,16,Saturday,1,0,clear,high,bicycle,3.77,1,660,2651
JP010246,Sapporo-Odori,21,Wednesday,0,0,cloudy,very_high,car,9.59,8,486,2939
JP010247,Tokyo-Akihabara,15,Monday,0,0,heavy_rain,low,scooter,0.92,4,344,754
JP010248,Osaka-Namba,16,Monday,0,0,rain,high,car,2.28,7,856,1729
JP010249,Fukuoka-Tenjin,10,Wednesday,0,0,clear,medium,scooter,1.93,6,348,916
JP010250,Kyoto-Gion,16,Wednesday,0,0,clear,high,scooter,9.33,7,750,2950
JP010251,Nagoya-Sakae,14,Wednesday,0,0,cloudy,very_high,car,1.99,8,676,1417
JP010252,Sapporo-Odori,12,Wednesday,0,1,clear,very_high,bicycle,2.61,7,484,2483
JP010253,Sapporo-Odori,12,Wednesday,0,1,rain,low,bicycle,1.18,6,602,1197
JP010254,Osaka-Umeda,21,Thursday,0,0,snow,very_high,bicycle,2.08,8,659,3000
JP010255,Fukuoka-Tenjin,16,Monday,0,0,rain,very_high,scooter,4.0,1,376,1801
JP010256,Nagoya-Sakae,11,Wednesday,0,0,snow,medium,bicycle,20.0,3,748,13802
JP010257,Tokyo-Shinjuku,15,Tuesday,0,0,clear,medium,car,3.67,6,670,1450
JP010258,Nagoya-Sakae,12,Friday,0,1,clear,medium,car,8.49,8,679,2393
JP010259,Kyoto-Gion,12,Thursday,0,1,clear,medium,car,1.24,6,707,1164
JP010260,Kyoto-Gion,16,Saturday,1,0,rain,medium,bicycle,0.74,1,490,911
JP010261,Fukuoka-Tenjin,18,Friday,0,1,heavy_rain,low,scooter,2.61,5,756,1511
JP010262,Osaka-Namba,14,Friday,0,0,rain,very_high,bicycle,3.37,2,438,2923
JP010263,Tokyo-Shibuya,12,Thursday,0,1,cloudy,very_high,bicycle,1.2,6,655,1595
JP010264,Tokyo-Shibuya,17,Friday,0,0,snow,high,scooter,2.34,3,478,1493
JP010265,Kyoto-Gion,9,Friday,0,0,cloudy,low,bicycle,1.09,3,542,1105
JP010266,Fukuoka-Tenjin,9,Monday,0,0,rain,high,scooter,1.38,3,388,1042
JP010267,Tokyo-Shibuya,13,Wednesday,0,1,heavy_rain,very_high,car,4.4,7,719,2599
JP010268,Tokyo-Shibuya,17,Tuesday,0,0,rain,low,scooter,1.45,8,829,1421
JP010269,Kyoto-Gion,11,Tuesday,0,0,snow,medium,bicycle,1.48,7,814,2099
JP010270,Tokyo-Shinjuku,19,Sunday,1,1,clear,medium,scooter,2.27,3,465,1126
JP010271,Kyoto-Gion,17,Saturday,1,0,cloudy,high,car,1.3,5,380,897
JP010272,Osaka-Umeda,9,Tuesday,0,0,snow,high,bicycle,0.81,5,846,1716
JP010273,Tokyo-Shibuya,12,Friday,0,1,cloudy,medium,bicycle,0.59,6,877,1395
JP010274,Tokyo-Shinjuku,14,Sunday,1,0,clear,low,bicycle,8.31,5,515,3278
JP010275,Nagoya-Sakae,19,Friday,0,1,clear,very_high,car,1.96,5,609,1274
JP010276,Fukuoka-Tenjin,16,Tuesday,0,0,heavy_rain,high,scooter,1.59,2,361,967
JP010277,Tokyo-Akihabara,17,Thursday,0,0,heavy_rain,very_high,scooter,2.34,4,648,1640
JP010278,Tokyo-Akihabara,13,Wednesday,0,1,rain,high,scooter,10.88,3,679,4337
JP010279,Sapporo-Odori,18,Friday,0,1,clear,high,bicycle,1.03,8,425,1264
JP010280,Osaka-Umeda,20,Thursday,0,1,cloudy,medium,bicycle,6.13,1,597,3440
JP010281,Nagoya-Sakae,14,Sunday,1,0,snow,very_high,bicycle,0.58,3,635,1405
JP010282,Kyoto-Gion,17,Tuesday,0,0,cloudy,very_high,car,1.54,8,810,1370
JP010283,Osaka-Umeda,11,Thursday,0,0,clear,low,scooter,6.8,8,546,1849
JP010284,Osaka-Namba,12,Friday,0,1,rain,low,bicycle,1.61,5,806,1756
JP010285,Fukuoka-Tenjin,9,Wednesday,0,0,snow,low,bicycle,9.1,7,437,5688
